Clade	FractionZero	FractionZeroNG	Ali_Length	N_HV_Sites
Int11409_395_471_L_74_108_R_24	0.528315946348733	0.815946348733234	1342	0
Int11409_395_471_L_74_80_L_22	0.499579478553406	0.814970563498738	1189	3
Int11409_395_471_L_74_80_R_24	0.576317590691307	0.774811772758385	1461	0
Int11409_395_471_R_144_154_L_14	0.491803278688525	0.993624772313297	1098	0
Int11409_395_471_R_144_154_R_45	0.19533275713051	0.67761452031115	1157	19
Int11409_395_471_R_144_157_R_12	0.253842340109073	0.927615270203272	2017	0
Int11409_395_471_R_144_170_R_11	0.8926296633303	0.905368516833485	1099	0
Int11409_395_471_R_144_183_R_6	0.76530612244898	0.981292517006803	1176	0
Int11409_395_471_R_144_188_R_9	0.713409290096407	0.992988606485539	1141	0
Int11409_395_471_R_144_198_R_24	0.366942148760331	0.815702479338843	1210	0
Int11409_395_471_R_144_221_R_14	0.939835916134913	0.972652689152233	1097	0
Int11409_395_471_R_144_278_R_6	0.827808015833746	0.966848095002474	2021	0
Int11409_395_755_R_28_32_L_25	0.250372578241431	0.93070044709389	1342	8
Int11890_361_405_L_52_68_L_28	0.427546628407461	0.787661406025825	697	3
Int11890_361_405_L_52_69_R_23	0.794025157232704	0.966981132075472	636	0
Int11890_361_405_R_36_64_L_31	0.14524765729585	0.506024096385542	1494	105
Int11890_361_407_R_18_31_L_14	0.343155893536122	0.891634980988593	1052	0
Int11890_361_407_R_18_31_R_4	0.378836833602585	0.970113085621971	1238	0
Int11890_361_455_R_50_60_L_13	0.402092675635277	0.955156950672646	1338	0
Int11890_361_455_R_50_60_R_24	0.280639431616341	0.892539964476021	1126	2
Int11890_361_455_R_50_61_R_13	0.298148148148148	0.877777777777778	1080	0
Int11890_361_504_R_81_110_R_7	0.633251833740831	0.991035044824776	1227	0
Int11890_361_504_R_81_117_R_5	0.533396946564885	0.966603053435115	1048	0
Int11890_361_504_R_81_85_L_10	0.906532663316583	0.906532663316583	995	2
Int11890_361_504_R_81_86_R_39	0.175072744907856	0.733268671193017	2062	57
Int11890_361_504_R_81_93_R_17	0.989330746847721	0.991270611057226	1031	0
Int11890_361_599_R_29_37_L_8	0.50227716330514	0.879635653871178	1537	0
Int11890_361_599_R_29_38_R_7	0.710348413936557	0.985959438377535	1923	0
Int11890_361_599_R_29_44_R_14	0.420260782347041	0.912738214643932	1994	1
Int11890_361_628_R_48_55_L_7	0.333333333333333	0.975903614457831	1743	0
Int11890_361_628_R_48_55_R_14	0.140098199672668	0.911620294599018	3055	3
Int11890_361_628_R_48_90_R_6	0.290571870170015	0.956723338485317	1941	0
Int12253_29_38_L_16_28_L_14	0.0718722271517303	0.861801242236025	4508	21
Int12386_211_240_L_132_145_L_13	0.0307570977917981	0.92192429022082	1268	0
Int12386_211_240_L_132_145_R_69	0	0.61685393258427	2670	59
Int12386_211_240_L_132_198_R_5	0.358270418668497	0.997597803706246	2914	0
Int12386_211_240_L_132_202_R_28	0.890535917901938	0.978335233751425	877	0
Int12386_211_240_L_132_247_R_17	0.325984251968504	0.920472440944882	1270	0
Int12744_100_122_R_56_82_L_29	0.755357142857143	0.975	1120	0
Int12744_100_122_R_56_82_R_27	0.373011800923551	0.917393535146229	1949	0
Int12963_295_311_L_169_205_L_143	0.139308855291577	0.595032397408207	926	46
Int12963_295_311_L_169_205_R_26	0.886061946902655	0.959070796460177	904	0
Int7491_119_143_R_50_76_L_27	0.601748807631161	0.934817170111288	1258	0
Int7491_119_143_R_50_76_R_23	0.921303656597774	0.968203497615262	1258	0
Int7884_206_319_R_57_71_L_24	0.751911639762107	0.982158028887001	1177	0
Int7884_206_319_R_57_71_R_33	0.147470398277718	0.651776103336921	1858	54
Int8132_118_171_L_85_108_L_23	0.604021655065739	0.941221964423821	1293	0
Int8132_118_171_L_85_108_R_62	0.148482362592289	0.570959803117309	1219	44
Int8275_250_264_R_62_78_L_25	0.605367793240557	0.949304174950298	1006	0
Int8275_250_264_R_62_78_R_37	8.93255917820456e-4	0.903974988834301	2239	0
Int8559_390_422_L_64_81_L_54	0	0.856757667677789	2967	2
Int8559_390_422_L_64_81_R_10	0.885974914481186	0.98745724059293	877	0
Int9024_309_319_R_168_181_L_26	0.398496240601504	0.940977443609023	2660	0
Int9024_309_319_R_168_181_R_76	0.219610476830087	0.64405641370047	1489	77
Int9024_309_319_R_168_182_R_29	0.490875912408759	0.924574209245742	1644	0
Int9024_309_319_R_168_278_R_28	0.682291666666667	0.933779761904762	1344	0
Int9024_309_319_R_168_305_R_9	0.75	0.940594059405941	1212	1
Int9342_188_247_L_79_129_R_25	0.821333333333333	0.970666666666667	1500	1
Int9342_188_247_L_79_91_L_16	0.978666666666667	0.978666666666667	1125	0
Int9342_188_247_L_79_91_R_19	0.309473684210526	0.714736842105263	1900	42
Int9342_188_247_L_79_98_R_19	0.595414201183432	0.981508875739645	1352	0
Int9555_160_226_L_93_106_L_73	0	0.676748582230624	2116	48
Int9555_160_226_L_93_106_R_20	0.776190476190476	0.938888888888889	1260	0
Int9778_403_423_R_57_66_L_29	0.687654320987654	0.991358024691358	810	0
Int9778_403_423_R_57_66_R_28	1	1	808	0
Int9778_403_509_R_83_122_L_41	0.00486914181375533	0.914181375532562	1643	0
Int9778_403_509_R_83_122_R_42	0	0.829034193161368	1667	0
