Clade parent node branch.length label bootstrap mrca_id N_OverlapEco
Int10225_32 42 43 0.6298298290746684 NA 100 GWHPACEA048350|GWHPACEN047206 9
Int10257_41 72 73 0.011142280295894223 NA 89 GWHPACEQ007593|GLYMA_02G284200_1 6
Int10257_41 73 75 0.011255119937377227 NA 94 GWHPACEI008207|GLYMA_02G284200_1 5
Int10257_41 53 54 0.016124282524703198 NA 12 GWHPACES008004|GWHPACEA008170 5
Int10257_41 43 2 0.017638419744494024 GWHPACEE007911 NA NA 0
Int10257_41 78 28 0.026866232029450928 GWHPACEL007548 NA NA 1
Int10257_41 78 28 0.026866232029450928 GWHPACEL007548 NA NA 1
Int10257_41 78 28 0.026866232029450928 GWHPACEL007548 NA NA 1
Int10257_41 78 28 0.026866232029450928 GWHPACEL007548 NA NA 1
Int10309_34 58 23 0.014741288000073053 GLYMA_ZH13_12G215100_1_P NA NA 1
Int10309_34 36 37 1.0047736568207555 NA 100 GWHPACEX047625|GWHPACEQ047909 13
Int10346_43 54 55 0.01550773422106129 NA 50 GLYMA_ZH13_14G044100_1_P|GWHPACED054826 5
Int10346_43 53 54 0.018491778917402658 NA 84 GWHPACED054826|GWHPACED007330 10
Int10346_43 51 52 0.025594784213849548 NA 80 GWHPACDZ056389|GWHPACED054826 9
Int10346_43 53 40 0.08719561990707776 GWHPACER052749 NA NA 0
Int10346_43 54 59 0.7177053885769095 NA 100 GWHPACEV007211|GWHPACED007330 15
Int10388_28 45 15 0.021110544303024233 GWHPACEV024116 NA NA 1
Int10388_28 40 41 0.3612047752858881 NA 100 W05_GLYSO_07G017123_1_P|GWHPACEA026477 6
Int10445_27 34 6 0.012275215724125535 GWHPACEN000579 NA NA 0
Int10445_27 49 22 0.01422471699134893 GWHPACED000589 NA NA 0
Int10472_18 34 16 0.010768208780678119 GWHPACET000517 NA NA 0
Int10472_18 34 17 0.015655021636066573 GWHPACEN000502 NA NA 0
Int10472_18 23 24 0.018934995437315905 NA 100 GWHPACEJ000521|GWHPACES000514 3
Int10472_18 24 25 0.02048744269099254 NA 100 GWHPACEJ000521|GWHPACEI000527 0
Int10472_18 24 26 0.028635496319094456 NA 100 GWHPACES000514|GWHPACDY000513 3
Int10472_18 31 12 0.02976680675362659 GWHPACDY000513 NA NA 0
Int10472_18 31 32 0.03910983086238213 NA 100 GWHPACEO000508|W05_GLYSO_01G000326_1_P 2
Int10472_18 27 28 0.06059325328357824 NA 100 GWHPACES000514|GLYMA_ZH13_01G032400_1_P 0
Int10472_18 26 27 0.1069840605066972 NA 100 GWHPACES000514|GWHPACEM000517 3
Int10472_18 26 31 0.1336643784036303 NA 100 GWHPACDY000513|W05_GLYSO_01G000326_1_P 2
Int10490_338 585 586 0.010683907996005165 NA 57 GWHPACES009159|GWHPACEL008727 4
Int10490_338 631 301 0.01084467245031654 GWHPACER059336 NA NA 1
Int10490_338 347 348 0.010900504375592064 NA 44 GWHPACES062624|GWHPACEN061831 25
Int10490_338 392 393 0.011155513907975773 NA 80 GWHPACEH062708|GWHPACEP058931 2
Int10490_338 421 422 0.011541012699455613 NA 80 GWHPACEX032995|GWHPACED033573 2
Int10490_338 554 210 0.012008176023338077 GWHPACET009208 NA NA 1
Int10490_338 599 257 0.012033901795794758 GWHPACEJ009384 NA NA 1
Int10490_338 422 78 0.012076922706446601 GWHPACED033573 NA NA 1
Int10490_338 550 562 0.012500679837194998 NA 31 GWHPACEL008724|GWHPACEQ008701 15
Int10490_338 598 258 0.01257351637623715 GWHPACDY009296 NA NA 1
Int10490_338 552 555 0.012969914023557594 NA 100 GWHPACEO009156|GWHPACED008607 5
Int10490_338 549 585 0.01322256242319927 NA 48 GWHPACES009159|GWHPACEL008721 4
Int10490_338 499 157 0.013288315438103358 GWHPACEF001909 NA NA 1
Int10490_338 358 359 0.013398901994327502 NA 18 GWHPACEP058820|GWHPACEH062583 9
Int10490_338 598 599 0.01372050981292928 NA 100 GWHPACEJ009384|GWHPACEE008978 3
Int10490_338 353 16 0.013770573336221732 GWHPACEX058382 NA NA 1
Int10490_338 487 495 0.015911342143864585 NA 100 GWHPACEL008718|GWHPACEB008479 3
Int10490_338 449 460 0.01617715841414468 NA 98 GWHPACEB032986|GWHPACEF033480 2
Int10490_338 372 33 0.017049352477422345 GWHPACEV056726 NA NA 1
Int10490_338 601 260 0.01863388233462309 GWHPACEC008818 NA NA 1
Int10490_338 342 6 0.019492731408683406 GWHPACEV056725 NA NA 1
Int10490_338 462 463 0.019685126566820012 NA 100 GLYMA_09G057000_1|GWHPACEH035520 10
Int10490_338 585 593 0.020305599641694788 NA 100 GWHPACEL008721|GWHPACEL008722 1
Int10490_338 391 392 0.0209905877328633 NA 51 GWHPACEC058590|GWHPACEH062708 3
Int10490_338 344 3 0.021065922723592753 GWHPACEE062417 NA NA 1
Int10490_338 364 365 0.023785834105578274 NA 69 GWHPACED059683|GWHPACEJ064460 3
Int10490_338 551 552 0.02461010364769966 NA 97 GWHPACEG009056|GWHPACEO009156 8
Int10490_338 551 559 0.02493648951726379 NA 100 GWHPACEW009108|GWHPACEX008758 4
Int10490_338 420 79 0.028603636158315605 GLYMA_ZH13_09G053100_1_P NA NA 1
Int10490_338 352 358 0.029719694560596685 NA 50 GWHPACEP058820|GWHPACEB056797 12
Int10490_338 599 600 0.030888880148957097 NA 100 GWHPACEE008978|GWHPACEO009115 2
Int10490_338 400 426 0.031066609022137547 NA 74 GWHPACES035682|GWHPACED008591 29
Int10490_338 340 2 0.03107474797124902 GLYMA_ZH13_15G146100_1_P NA NA 1
Int10490_338 359 364 0.032753309162347845 NA 50 GWHPACEH062583|GWHPACED059683 4
Int10490_338 356 12 0.03360061893403673 GWHPACEQ058358 NA NA 1
Int10490_338 364 22 0.034208989448672525 GWHPACEH062583 NA NA 1
Int10490_338 474 497 0.03504396912170322 NA 86 GWHPACEF001909|GWHPACEG009056 29
Int10490_338 426 427 0.035401874200960214 NA 61 GWHPACES035682|GWHPACEJ036546 25
Int10490_338 373 400 0.03549062020111841 NA 77 GWHPACEA035763|GWHPACES035682 29
Int10490_338 549 550 0.036728915352577204 NA 53 GWHPACEG009056|GWHPACEL008724 24
Int10490_338 550 551 0.0386489434737694 NA 99 GWHPACEG009056|GWHPACEW009108 12
Int10490_338 473 594 0.03941243388519554 NA 48 GWHPACEE008978|GWHPACED057911 29
Int10490_338 349 350 0.039668663581705906 NA 90 GWHPACEI064732|GWHPACEV056726 23
Int10490_338 470 471 0.041440158511184405 NA 47 GWHPACEC033505|GLYMA_ZH13_09G053600_1_P 2
Int10490_338 394 60 0.04155167842939042 GWHPACEV056842 NA NA 1
Int10490_338 472 473 0.04650150111049516 NA 53 GWHPACED008591|GWHPACEE008978 29
Int10490_338 351 352 0.057784760639376646 NA 5 GWHPACEI064732|GWHPACEP058820 18
Int10490_338 497 498 0.06249093907339185 NA 100 GWHPACEF001909|GWHPACEI001948 29
Int10490_338 392 44 0.0792579974163579 GWHPACEC058590 NA NA 1
Int10490_338 596 597 0.09080756971257975 NA 100 GWHPACEN008875|GWHPACEE008978 5
Int10490_338 621 648 0.11325901830146526 NA 100 GWHPACEV023659|GWHPACEQ024040 27
Int10490_338 471 132 0.13145922161640367 GLYMA_ZH13_09G053600_1_P NA NA 1
Int10490_338 498 499 0.1622427959231784 NA 100 GWHPACEF001909|GWHPACEI001946 26
Int10490_338 594 602 0.16636916756026252 NA 100 GWHPACED057911|GWHPACEN063725 29
Int10490_338 473 474 0.18626889075703223 NA 100 GWHPACED008591|GWHPACEF001909 29
Int10490_338 621 622 0.19881549961910702 NA 100 GWHPACEA064794|GWHPACEN063725 27
Int10490_338 427 461 0.23474040941341823 NA 100 GWHPACEJ036546|GWHPACDY036481 12
Int10490_338 373 374 0.2363909957991322 NA 100 GWHPACEE062535|GLYMA_15G160900_1 27
