Clade parent node branch.length label bootstrap mrca_id N_OverlapEco


Int11890_361_405_L_52 57 91 0.011295630328645313 NA 54 GLYMA_ZH13_06G246600_1_P|GWHPACEP022746 6
Int11890_361_405_L_52 92 96 0.011326476723438717 NA 89 GWHPACEO024197|W05_GLYSO_06G015924_1_P 1
Int11890_361_405_L_52 69 70 0.01231646209551966 NA 99 GWHPACDY024686|GLYMA_06G267300_1 16
Int11890_361_405_L_52 97 44 0.014084425015061899 GWHPACEP022746 NA NA 0
Int11890_361_405_L_52 96 42 0.017071726076275207 GWHPACEO024197 NA NA 0
Int11890_361_405_L_52 58 68 0.05224079256058776 NA 97 W05_GLYSO_06G015928_1_P|GWHPACDY024686 21
Int11890_361_405_L_52 68 69 0.056382587317918315 NA 100 GWHPACDY024686|GLYMA_ZH13_06G246900_1_P 21
Int11890_361_405_L_52 59 60 0.06361081942725076 NA 100 GWHPACDY024699|GWHPACEF022461 9
Int11890_361_405_L_52 58 59 0.06375967828798498 NA 100 GWHPACDY024694|GWHPACDY024699 9
Int11890_361_405_L_52 57 58 0.06502523047874541 NA 100 GWHPACDY024694|W05_GLYSO_06G015928_1_P 13
Int11890_361_405_L_52 59 4 0.07459155795704386 GWHPACDY024694 NA NA 1
Int11890_361_405_L_52 68 14 0.1457665370595898 W05_GLYSO_06G015928_1_P NA NA 1




Int11890_361_405_R_36 56 57 0.010797351099962757 NA 43 GWHPACEA066567|GLYMA_16G127900_1 3
Int11890_361_405_R_36 57 58 0.022576295769075314 NA 81 GLYMA_16G127900_1|GLYMA_ZH13_16G113400_1_P 2
Int11890_361_405_R_36 44 59 0.02272910185333311 NA 40 GWHPACEE067092|GLYMA_16G210800_1 4
Int11890_361_405_R_36 66 67 0.024393749668829522 NA 100 GWHPACEV061357|GWHPACEX063024 0
Int11890_361_405_R_36 52 11 0.028494588140950346 GWHPACEL062907 NA NA 0
Int11890_361_405_R_36 56 13 0.03487099832794336 W05_GLYSO_16G043556_1_P NA NA 1
Int11890_361_405_R_36 47 49 0.03648657442364215 NA 90 GWHPACDZ065066|W05_GLYSO_16G043556_1_P 7
Int11890_361_405_R_36 49 56 0.04216437083204555 NA 87 W05_GLYSO_16G043556_1_P|GLYMA_16G127900_1 4
Int11890_361_405_R_36 50 6 0.055356757564864856 GWHPACDZ065066 NA NA 0
Int11890_361_405_R_36 46 3 0.06150511477187896 W05_GLYSO_16G043563_1_P NA NA 1
Int11890_361_405_R_36 57 16 0.06164678670413644 GWHPACEA066567 NA NA 1
Int11890_361_405_R_36 46 47 0.0661221693804298 NA 100 GWHPACEJ087960|GWHPACDZ065066 8
Int11890_361_405_R_36 49 50 0.06614306829855951 NA 96 GWHPACDZ065066|GWHPACEJ068243 3
Int11890_361_405_R_36 44 45 0.07232779425959508 NA 89 GWHPACEN066569|W05_GLYSO_16G043563_1_P 8
Int11890_361_405_R_36 43 44 0.07945873661370254 NA 66 GWHPACEN066569|GWHPACEE067092 6
Int11890_361_405_R_36 47 48 0.09574946230902778 NA 100 GWHPACEJ087960|GWHPACEE066085 2
Int11890_361_405_R_36 69 70 0.09826753514129297 NA 100 GWHPACEJ069331|GWHPACDY069240 1
