Clade	FractionZero	FractionZeroNG	Ali_Length	N_HV_Sites
Int4674_114_143_L_37_44_L_14	0.142311365807068	0.946513849092646	1047	0
Int4674_114_143_L_37_44_R_23	0.492886178861789	0.885162601626016	984	0
Int4787_129_172_R_46_58_L_29	0.108181818181818	0.638181818181818	1100	12
Int4787_129_172_R_46_58_R_9	0.609271523178808	0.967833491012299	1057	0
Int4787_129_172_R_46_74_R_4	0.653700189753321	0.971537001897533	1054	0
Int4941_37_44_R_13_15_L_4	0.263525305410122	0.93717277486911	573	0
Int4941_37_44_R_13_15_R_9	0	0.907207207207207	1110	12
Int5038_20_18_L_19_11_L_18	0.0990033222591362	0.882059800664452	3010	5
Int5939_50_60_L_25_31_L_9	0.273359073359073	0.831660231660232	1295	6
Int5939_50_60_L_25_32_R_8	0.0118081180811808	0.78450184501845	1355	5
Int5939_50_60_L_25_39_R_7	0.659476117103236	0.977657935285054	1298	0
Int6085_245_276_R_39_56_L_17	0.625968992248062	0.963178294573643	516	0
Int6085_245_276_R_39_56_R_22	0.488593155893536	0.889733840304182	526	0
Int6085_245_340_R_21_37_L_16	0.979633401221996	0.979633401221996	491	0
Int6085_245_340_R_21_37_R_5	0.680244399185336	1	491	0
Int6085_245_343_R_26_38_L_15	0.511551155115512	0.892739273927393	606	1
Int6085_245_343_R_26_38_R_11	0.857142857142857	0.908730158730159	504	0
Int6085_245_428_R_21_31_L_10	0.664814814814815	0.974074074074074	540	0
Int6085_245_428_R_21_31_R_11	0.347408829174664	0.923224568138196	521	0
Int6329_131_253_L_122_205_R_5	0.720670391061452	0.995111731843575	1432	0
Int6329_131_253_L_122_209_L_80	0	0.499676793794441	1547	51
Int6329_131_253_L_122_209_R_35	0.0243745991019885	0.712636305323926	1559	15
Int6648_150_178_L_128_144_L_25	0.304381846635368	0.899843505477308	1278	0
Int6648_150_178_L_128_144_R_93	0.0471567267683773	0.634535367545076	1442	43
Int6648_150_178_L_128_204_R_7	0.905523255813954	0.998546511627907	688	0
